geo_code,area_name,pct_owned_total,pct_owned_outright,pct_owned_mortgage,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_overcrowded_total,pct_occ_minus1,pct_occ_minus2_less,pct_occ_zero,pct_occ_plus1,pct_occ_plus2_more,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,pct_unemployed,pct_employed_total,pct_inactive_total,pct_inactive_sick,pct_self_employed,year
E07000133,Melton,72.12,35.96,36.16,11.18,14.21,1.57,1.56,1.4,0.16,17.19,33.34,47.91,49.95,31.91,15.32,2.6,0.21,18.14,50.05,2.89,68.62,25.8,2.11,11.48,2011
E07000134,North West Leicestershire,72.48,34.71,37.77,14.31,11.27,1.17,1.91,1.72,0.19,18.37,35.69,44.03,46.22,30.94,18.96,3.66,0.22,22.84,53.78,3.44,65.63,28.53,3.43,9.29,2011
E07000135,Oadby and Wigston,80.79,42.5,38.29,7.54,9.92,0.99,3.13,2.69,0.44,19.79,38.0,39.08,44.69,33.94,17.96,3.15,0.25,21.36,55.31,3.22,61.83,31.08,2.69,8.6,2011
E07000136,Boston,63.87,33.87,30.0,18.19,15.72,1.37,4.02,3.34,0.68,23.47,36.72,35.8,33.69,36.36,23.67,5.73,0.56,29.96,66.31,4.16,63.56,30.18,4.4,8.26,2011
E07000137,East Lindsey,69.2,42.41,26.79,11.01,17.33,1.66,1.92,1.71,0.21,18.55,41.02,38.5,34.75,34.65,24.25,5.82,0.54,30.6,65.25,3.97,54.91,39.24,5.8,10.87,2011
E07000138,Lincoln,55.07,24.4,30.67,21.92,20.95,1.5,3.59,3.22,0.37,28.73,35.98,31.7,42.03,32.07,19.64,5.74,0.53,25.91,57.97,4.94,57.25,30.81,4.58,6.36,2011
E07000139,North Kesteven,74.36,37.23,37.14,10.21,13.45,1.49,1.13,1.01,0.12,13.57,37.45,47.85,47.47,32.57,17.16,2.64,0.16,19.96,52.53,2.91,64.77,29.96,2.9,9.44,2011
E07000140,South Holland,72.55,39.24,33.31,12.69,12.65,1.41,3.05,2.57,0.48,18.55,37.44,40.96,36.25,36.25,23.18,4.05,0.27,27.5,63.75,3.96,63.41,30.73,3.61,9.97,2011
E07000141,South Kesteven,69.42,33.58,35.84,13.43,14.63,1.64,1.48,1.36,0.12,16.51,35.19,46.82,48.16,32.06,16.51,3.07,0.21,19.79,51.84,3.34,66.28,27.79,2.92,10.14,2011
E07000142,West Lindsey,72.58,38.22,34.35,11.06,13.69,1.72,1.24,1.1,0.14,14.8,36.34,47.62,45.42,33.0,17.88,3.55,0.15,21.58,54.58,3.81,62.16,31.68,3.8,10.22,2011
