geo_code,area_name,year,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,latitude,longitude
E06000052,Cornwall,2011,68.81,39.98,12.0,16.76,1.67,40.18,34.6,19.9,4.83,0.49,25.22,59.82,50.266,-5.0527
E06000052,Cornwall,2021,66.24,41.77,12.79,19.71,0.09,46.11,35.48,14.65,3.49,0.28,18.41,53.89,50.266,-5.0527
E06000053,Isles of Scilly,2011,41.66,31.65,18.1,29.73,9.71,38.42,41.86,15.98,3.64,0.1,19.72,61.58,49.93,-6.315
E06000053,Isles of Scilly,2021,44.52,34.08,17.25,36.63,0.11,50.74,35.77,11.25,2.23,0.0,13.48,49.26,49.93,-6.315
E06000054,Wiltshire,2011,67.5,33.85,14.72,15.43,1.59,49.77,32.18,14.85,2.95,0.25,18.05,50.23,51.3492,-1.9927
E06000054,Wiltshire,2021,66.84,37.3,14.52,17.4,0.05,53.42,32.98,11.25,2.25,0.1,13.61,46.58,51.3492,-1.9927
E06000055,Bedford,2011,65.72,31.37,16.07,15.84,1.33,45.51,32.27,17.57,4.19,0.46,22.22,54.49,52.1386,-0.4667
E06000055,Bedford,2021,62.66,31.17,16.28,19.1,0.06,51.64,32.68,12.4,2.97,0.31,15.68,48.36,52.1386,-0.4667
E06000056,Central Bedfordshire,2011,72.55,31.65,13.39,12.08,1.14,50.49,31.37,15.05,2.83,0.26,18.14,49.51,52.0025,-0.4653
E06000056,Central Bedfordshire,2021,71.16,33.64,13.31,13.72,0.06,54.77,32.24,10.71,2.16,0.11,12.98,45.23,52.0025,-0.4653
E07000008,Cambridge,2011,47.46,24.92,23.6,26.24,1.58,49.08,32.26,14.42,3.83,0.4,18.66,50.92,52.2053,0.1192
E07000008,Cambridge,2021,44.08,24.58,22.66,31.43,0.16,56.5,30.24,10.45,2.65,0.16,13.26,43.5,52.2053,0.1192
E07000009,East Cambridgeshire,2011,68.52,32.2,14.28,13.22,2.51,49.6,31.97,15.44,2.81,0.18,18.43,50.4,52.35,0.2667
E07000009,East Cambridgeshire,2021,68.03,36.25,13.98,16.45,0.03,53.41,33.29,11.1,2.12,0.08,13.3,46.59,52.35,0.2667
E07000010,Fenland,2011,70.0,35.67,12.44,15.61,1.44,36.24,34.53,23.48,5.32,0.42,29.22,63.76,52.5333,0.1167
E07000010,Fenland,2021,66.81,37.73,12.66,19.95,0.04,41.67,37.36,16.88,3.86,0.22,20.97,58.33,52.5333,0.1167
E07000011,Huntingdonshire,2011,71.25,31.98,12.89,14.09,1.04,50.37,31.68,14.89,2.81,0.25,17.95,49.63,52.3333,-0.1833
E07000011,Huntingdonshire,2021,68.97,35.93,12.86,16.78,0.03,53.6,32.93,11.15,2.21,0.11,13.47,46.4,52.3333,-0.1833
E07000012,South Cambridgeshire,2011,70.26,34.62,14.25,11.96,1.42,55.95,29.5,12.41,1.99,0.14,14.55,44.05,52.15,0.0333
E07000012,South Cambridgeshire,2021,68.9,36.46,14.47,14.01,0.12,58.41,30.89,9.07,1.57,0.05,10.7,41.59,52.15,0.0333
E07000026,Allerdale,2011,69.0,39.4,19.1,9.78,1.65,42.37,32.14,20.01,5.21,0.27,25.49,57.63,54.6442,-3.2975
E07000026,Allerdale,2021,68.33,42.69,18.9,12.2,0.02,48.07,34.0,14.17,3.64,0.11,17.93,51.93,54.6442,-3.2975
E07000027,Barrow-in-Furness,2011,73.46,36.58,11.06,14.23,1.13,37.78,30.84,22.72,7.75,0.91,31.38,62.22,54.1108,-3.2261
E07000027,Barrow-in-Furness,2021,71.85,39.19,11.04,16.82,0.11,46.7,32.83,15.81,4.47,0.19,20.47,53.3,54.1108,-3.2261
E07000028,Carlisle,2011,68.26,34.66,15.3,14.3,1.45,42.4,32.96,19.05,5.13,0.45,24.64,57.6,54.8951,-2.9341
E07000028,Carlisle,2021,67.2,38.35,14.35,17.57,0.05,48.88,33.65,13.77,3.57,0.13,17.47,51.12,54.8951,-2.9341
