geo_code,area_name,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,year
E07000130,Charnwood,69.84,37.43,11.7,17.37,0.09,52.95,32.37,12.02,2.55,0.1,14.68,47.05,2021
E07000131,Harborough,75.8,40.79,8.74,13.46,0.02,57.88,30.86,9.65,1.55,0.07,11.26,42.12,2021
E07000132,Hinckley and Bosworth,74.4,39.87,10.21,14.39,0.08,51.41,33.69,12.37,2.43,0.11,14.9,48.59,2021
E07000133,Melton,70.94,40.53,10.69,17.17,0.1,53.06,33.75,11.14,1.94,0.11,13.19,46.94,2021
E07000134,North West Leicestershire,71.79,36.91,13.54,13.51,0.1,51.54,33.15,12.61,2.58,0.12,15.31,48.46,2021
E07000135,Oadby and Wigston,75.23,42.94,7.93,16.02,0.11,49.12,34.62,13.67,2.43,0.16,16.26,50.88,2021
E07000136,Boston,58.85,33.9,19.47,20.29,0.11,40.86,38.6,16.24,4.02,0.28,20.54,59.14,2021
E07000137,East Lindsey,67.4,46.19,11.27,20.25,0.03,39.78,36.92,18.47,4.56,0.27,23.31,60.22,2021
E07000138,Lincoln,50.5,26.1,21.06,27.19,0.33,45.15,34.46,15.71,4.39,0.29,20.39,54.85,2021
E07000139,North Kesteven,72.78,39.98,10.03,16.01,0.13,52.27,33.65,11.93,2.08,0.07,14.08,47.73,2021
E07000140,South Holland,69.58,40.79,12.13,17.06,0.16,44.04,37.36,15.53,2.93,0.14,18.6,55.96,2021
E07000141,South Kesteven,68.29,37.81,12.49,18.02,0.15,51.69,33.7,12.21,2.3,0.1,14.6,48.31,2021
E07000142,West Lindsey,70.28,41.45,10.87,17.88,0.05,49.25,34.15,13.47,3.01,0.13,16.61,50.75,2021
E07000143,Breckland,67.04,39.97,14.09,18.11,0.04,45.49,36.88,14.56,2.94,0.14,17.63,54.51,2021
E07000144,Broadland,77.11,45.79,9.73,12.28,0.02,50.99,34.57,12.35,2.03,0.07,14.44,49.01,2021
E07000145,Great Yarmouth,61.77,38.11,16.19,21.5,0.24,38.15,36.76,19.14,5.55,0.4,25.08,61.85,2021
E07000146,King's Lynn and West Norfolk,67.0,41.58,13.61,18.83,0.08,43.97,36.78,15.6,3.45,0.2,19.25,56.03,2021
E07000147,North Norfolk,68.65,48.6,12.97,17.65,0.04,44.4,37.65,14.86,2.92,0.17,17.95,55.6,2021
E07000148,Norwich,42.05,22.2,30.28,26.92,0.18,44.96,34.39,15.6,4.73,0.31,20.65,55.04,2021
E07000149,South Norfolk,73.14,41.9,11.7,13.89,0.03,51.67,34.58,11.59,2.05,0.1,13.74,48.33,2021
E07000163,Craven,71.59,45.36,9.57,18.1,0.04,55.22,32.43,10.35,1.93,0.07,12.35,44.78,2021
E07000164,Hambleton,68.98,43.56,13.4,16.73,0.01,54.73,32.73,10.64,1.84,0.06,12.54,45.27,2021
E07000165,Harrogate,70.12,40.66,9.87,19.0,0.1,57.27,31.27,9.59,1.77,0.09,11.46,42.73,2021
E07000166,Richmondshire,64.41,40.67,11.65,23.23,0.13,54.11,33.43,10.54,1.86,0.06,12.46,45.89,2021
E07000167,Ryedale,66.79,43.78,12.83,19.59,0.03,51.8,34.62,11.6,1.89,0.09,13.58,48.2,2021
E07000168,Scarborough,63.52,41.4,13.83,21.67,0.03,45.47,35.3,15.16,3.78,0.29,19.23,54.53,2021
E07000169,Selby,73.09,36.88,12.26,13.42,0.1,54.17,32.36,11.26,2.12,0.09,13.47,45.83,2021
E07000170,Ashfield,67.42,35.74,14.91,17.06,0.2,43.14,34.35,17.64,4.65,0.23,22.51,56.86,2021
E07000171,Bassetlaw,68.24,37.78,14.96,16.23,0.15,46.82,34.3,15.02,3.72,0.14,18.87,53.18,2021
E07000172,Broxtowe,71.24,39.91,11.04,17.28,0.13,50.02,33.78,13.23,2.86,0.11,16.2,49.98,2021
E07000173,Gedling,73.84,40.06,9.69,15.89,0.06,50.73,32.93,13.39,2.84,0.11,16.34,49.27,2021
E07000174,Mansfield,64.03,34.7,16.37,18.87,0.27,42.49,34.65,17.58,5.06,0.22,22.86,57.51,2021
E07000175,Newark and Sherwood,68.99,38.49,13.9,16.17,0.12,49.13,33.45,13.96,3.27,0.18,17.42,50.87,2021
